1,0
2,1
3,1
4,1
5,0
6,0
7,1
8,0
9,0
10,1
11,1
12,0
13,0
14,1
15,1
16,1
17,1
18,1
19,0
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,1
29,1
30,0
31,1
32,1
33,0
34,1
35,0
36,0
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,0
51,0
52,0
53,1
54,1
55,1
56,1
57,0
58,0
59,1
60,1
61,0
62,0
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,0
78,0
79,0
80,0
81,1
82,1
83,1
84,0
85,0
86,0
87,1
88,1
89,0
90,1
91,1
92,1
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,1
101,0
102,1
103,1
104,1
105,1
106,0
107,1
108,0
109,0
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,0
123,0
124,0
125,1
126,0
127,1
128,1
129,0
130,0
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,0
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,0
152,1
153,1
154,0
155,1
156,0
157,1
158,0
159,1
160,1
161,0
162,1
163,1
164,1
165,0
166,0
167,1
168,1
169,0
170,1
171,1
172,1
173,1
174,0
175,0
176,0
177,0
178,1
179,1
180,1
181,0
182,0
183,0
184,1
185,1
186,1
187,1
188,1
189,0
190,1
191,1
192,0
193,1
194,0
195,1
196,1
197,1
198,0
199,0
200,0
201,1
202,0
203,0
204,1
205,1
206,0
207,1
208,1
209,1
210,0
211,0
212,1
213,1
214,0
215,0
216,1
217,1
218,0
219,1
220,0
221,1
222,1
223,0
224,1
225,0
226,1
227,0
228,1
229,1
230,1
231,0
232,0
233,1
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,0
246,0
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,0
255,1
256,1
257,0
258,0
259,0
260,0
261,1
262,1
263,1
264,0
